fold,scope,candidate,epochs,el_threshold,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,combined,stronger,18,0.3,696,146,0.4178082191780822,0.7534246575342466,526,0.6216730038022814,526,3.3008486685705942,2.8886665676721655,3.764430623808702,4.809808824783182,2255.8137652538576,19.799380380819443,18.642485850289486,21.354055175541305,37.282936096191406,1.6483370713278749,446,0.5128644939965695,0.12556053811659193
1,rruff,stronger,18,0.3,272,0,,,263,0.6273764258555133,263,2.5236748166169978,2.5797143462781458,3.50598474769526,5.358630081269851,443.25335574422047,20.59737155437879,18.65052518898347,24.38445010782983,37.368560791015625,1.7852351945438611,271,0.5921209709510545,0.01845018450184502
1,opxrd,stronger,18,0.3,424,146,0.4178082191780822,0.7534246575342466,263,0.6159695817490495,263,4.0779933594864985,3.197609027759845,4.022832215752288,4.260859573920146,4068.373489437901,18.872764916243895,18.52045306457089,18.152829612801213,37.19731140136719,1.44391786798872,175,0.31065989847715736,0.2914285714285714
2,combined,stronger,13,0.3,695,75,0.5733333333333334,0.88,563,0.6820603907637656,563,2.428521114109052,2.383165623975729,3.2699624858084033,4.168345104897023,1360.1331074784111,17.625478695637383,15.037330709441484,20.08560783765917,27.66154670715332,1.4086714659086201,410,0.5963912630579298,0.22439024390243903
2,rruff,stronger,13,0.3,272,0,,,260,0.6346153846153846,260,2.7421829219199516,2.375278353266695,3.3196287819603087,4.794256095115814,473.1438882827759,22.85798170260717,18.359419996311864,27.53078309044665,35.84454536437988,1.7601050639258236,272,0.5711927362773422,0.014705882352941176
2,opxrd,stronger,13,0.3,423,75,0.5733333333333334,0.88,303,0.7227722772277227,303,2.1593636572559674,2.389924923126122,3.2273268753280195,3.6311827083479384,2121.2489233992674,11.754323664828519,10.14677257347753,11.04520497340917,18.76637840270996,0.9025390269261235,138,0.6793478260869564,0.6376811594202898
3,combined,stronger,15,0.4,695,150,0.26666666666666666,0.28,512,0.611328125,512,2.3514468946499676,2.430948837342975,3.3800650248362256,4.6984004150885825,618.9261589646339,19.77803942323291,18.261824657952772,21.527345886048117,32.740543365478516,1.492216431883615,470,0.5263157894736843,0.19787234042553192
3,rruff,stronger,15,0.4,272,0,,,260,0.5961538461538461,260,2.2520034840828482,2.4321056672943033,3.345392614281055,5.373287207727723,433.2817126200749,20.27122858120246,19.556684833309564,24.78872483492387,37.88397789001465,1.6062493659606671,271,0.5577100646352724,0.02952029520295203
3,opxrd,stronger,15,0.4,423,150,0.26666666666666666,0.28,252,0.626984126984127,252,2.454042192011378,2.4297664886156336,3.4158419772351865,4.002155419885641,810.4712939035325,19.365520543599786,16.810735487062278,18.48520100039923,27.145928382873535,1.4104912824981408,199,0.4547368421052631,0.4271356783919598
4,combined,stronger,15,0.3,695,125,0.736,0.816,520,0.6557692307692308,520,2.3793474713475358,2.6267299481115662,3.460194875206953,4.517710338432965,603.0311628525074,16.830370931454986,14.741896615238261,20.950209402128955,28.502928733825684,1.3115980532782725,504,0.5866752910737387,0.27380952380952384
4,rruff,stronger,15,0.3,272,0,,,256,0.62890625,256,2.6790984689394364,2.816248237357681,3.433321704170678,5.267115811597762,520.9799235612154,21.188516740702006,19.1516152853435,29.44406068370421,35.721675872802734,1.6243496544500022,272,0.55484387510008,0.025735294117647058
4,opxrd,stronger,15,0.3,423,125,0.736,0.816,264,0.6818181818181818,264,2.0886781758573725,2.4429245042953003,3.4862594910107063,3.7909175982946453,682.5976404493505,10.468792257589005,9.030254723842404,15.31382943533498,22.58958148956299,0.8280822728295463,232,0.7205387205387205,0.5646551724137931
5,combined,head_only,28,0.3,694,74,0.8918918918918919,1.0,532,0.6710526315789473,532,2.2810866018165896,2.695602242927888,2.992724974829171,4.4178057060999265,554.5617169724371,19.144442771491452,19.72958368489399,21.100611149302523,31.638487815856934,1.455093416528337,423,0.6429840142095915,0.16312056737588654
5,rruff,head_only,28,0.3,271,0,,,259,0.6332046332046332,259,2.2381001002889866,2.6599046497658456,2.8677740127357003,5.036477298786449,372.88282478361975,19.35148202889478,19.7448233761584,26.631085696019092,31.69940757751465,1.5319539539425113,271,0.5858823529411765,0.014760147601476014
5,opxrd,head_only,28,0.3,423,74,0.8918918918918919,1.0,273,0.706959706959707,273,2.3218576845147654,2.7294388790155724,3.1113237659239963,3.8308841727567944,726.9266382643591,18.81973832498256,19.714343993629573,15.636002826127594,31.435916900634766,1.3059461348400951,152,0.8188405797101448,0.4276315789473684
