fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,head_only,15,0.3,1.5504518722563203,831,246,0.6097560975609756,0.6666666666666666,568,0.7183098591549296,568,1.8578488864616876,1.8831978524583086,2.4756155359424623,3.990215317162263,483.63156684015837,14.538031090203807,13.781457927532571,14.626749977946854,24.24500560760498,0.9760722457887576,576,0.5332940483205656,0.21180555555555555
1,conservative,28,0.2,1.4414692598619276,831,246,0.532520325203252,0.6138211382113821,568,0.7130281690140845,568,1.8808589021735094,1.9249075761548846,2.6641939049502295,3.9793669549217596,481.04730534217725,14.283880766759609,14.735238753319535,18.202330262802207,26.826603889465332,0.9612326327288174,576,0.4823559279004823,0.15104166666666666
1,balanced,25,0.3,1.513439369462327,831,246,0.5609756097560976,0.6382113821138211,568,0.7165492957746479,568,1.7908339502656128,1.8407696359287997,2.451308743998682,3.8209001427502054,475.61579731820336,13.248413765257926,13.554465049781143,14.897448074985377,22.69042682647705,0.8492796043186719,576,0.5228091236494599,0.2170138888888889
1,stronger,18,0.3,1.5625867109075204,831,246,0.5772357723577236,0.6788617886178862,568,0.721830985915493,568,1.7736903123473138,1.8199256369356736,2.286702398557055,3.8307875053586002,475.0167083068633,11.949914423511121,12.65794682270468,11.170422407447369,21.64002799987793,0.8520120805907623,576,0.5477226573832318,0.2517361111111111
2,head_only,25,0.3,1.1430904374288164,796,299,0.32441471571906355,0.4682274247491639,460,0.6413043478260869,460,2.5339091777064757,2.5941467030243412,3.6037884132258027,4.587913765743353,1298.941318412449,19.976103084092628,18.91449486409048,21.923398038921675,33.54319763183594,1.6220178659301299,601,0.4409756097560975,0.15307820299500832
2,conservative,30,0.3,1.052271898814933,796,299,0.2976588628762542,0.45819397993311034,460,0.6152173913043478,460,2.6986412115166245,2.7160583890527388,3.860576550819296,4.664071771511901,1336.2365561858467,20.35259733750261,20.63607671531166,25.020226648660543,37.09028244018555,1.5678160132609684,601,0.40189007709524993,0.10316139767054909
2,balanced,30,0.3,1.1173497802088246,796,299,0.3177257525083612,0.46488294314381273,460,0.6369565217391304,460,2.571233969829774,2.581372962782757,3.671699509399582,4.666373626083544,1304.9322161550108,19.13788739077954,18.638367498486407,22.314512497542516,34.81399345397949,1.5088738802787696,601,0.42719881744271987,0.13643926788685523
2,stronger,13,0.3,1.14487081927834,796,299,0.30434782608695654,0.46153846153846156,460,0.6543478260869565,460,2.5376380963937817,2.545902241887204,3.5816407444730096,4.627611851779148,1296.8556875726451,19.044537414738663,18.629890390029786,19.67579130299398,32.50552558898926,1.4553086157865565,601,0.44239860661856184,0.15307820299500832
3,head_only,29,0.3,1.5635121293280987,789,209,0.6698564593301436,0.8421052631578947,520,0.7096153846153846,520,2.3854980047610095,2.244839599685244,2.8200662637917238,4.0166006868534385,885.9397908430833,15.498720745913333,11.65702627511317,14.157922375823501,25.816572189331055,1.176855402106392,506,0.5080491132332879,0.13043478260869565
3,conservative,29,0.3,1.477159112269296,789,209,0.645933014354067,0.8181818181818182,520,0.6884615384615385,520,2.56066038096572,2.410813303889124,2.9092142682998317,4.0501291353245,921.7035830351023,17.85652448937732,15.016021393285165,14.450367057091494,28.083964347839355,1.4105522963460495,506,0.47022121384004534,0.15612648221343872
3,balanced,28,0.4,1.5605230965419996,789,209,0.6794258373205742,0.8277511961722488,520,0.7057692307692308,520,2.420861129481641,2.2990661262415424,2.8135326737172957,4.042689772824915,890.4114252090454,16.489417673550967,13.128420477190922,12.191688622132236,24.94981288909912,1.2727694927550184,506,0.51,0.1383399209486166
3,stronger,15,0.4,1.6021869378470637,789,209,0.6889952153110048,0.8181818181818182,520,0.7230769230769231,520,2.3692560260390336,2.2663806837389573,2.7747094954638882,4.106602773959931,925.1908084282509,16.118363589881064,12.80940543496336,13.460023588696005,28.442556381225586,1.2792901856070544,506,0.530661809350334,0.1324110671936759
4,head_only,20,0.4,1.4111532347453786,723,172,0.45348837209302323,0.8313953488372093,496,0.6754032258064516,496,2.3418407143320343,2.0573551320568475,3.1383384036131496,4.602759921182076,1242.2438584450751,16.937558750708497,14.1796372129875,20.13578779654018,29.432453155517578,1.2336304207180877,478,0.5103042198233562,0.19246861924686193
4,conservative,29,0.3,1.32818759399017,723,172,0.47093023255813954,0.7965116279069767,496,0.6370967741935484,496,2.3981589853384375,2.104001231969183,3.2405597775314807,4.662238767246875,1288.0819976483622,17.297181214805057,14.377681094494438,23.37485795851402,30.101648330688477,1.3270345663482415,478,0.4696505211526671,0.12552301255230125
4,balanced,24,0.4,1.4125419585782453,723,172,0.4883720930232558,0.8081395348837209,496,0.6693548387096774,496,2.321977175022935,2.0211654323210064,3.11763676510579,4.589791496163469,1227.0696193979632,16.4429790556543,13.562328527703393,19.128537481871042,25.554640769958496,1.1714762248429171,478,0.5048608783104257,0.1799163179916318
4,stronger,15,0.3,1.4272763397742037,723,172,0.47093023255813954,0.7965116279069767,496,0.6754032258064516,496,2.317323187269851,2.001621759659127,2.98008043281971,4.576530034418827,1198.5687283085238,16.65473572299826,14.285138923084626,18.026325712761906,25.563098907470703,1.2151699873056554,478,0.5246768507638073,0.17364016736401675
5,head_only,28,0.3,0.9809109856220908,805,347,0.36023054755043227,0.49855907780979825,380,0.5631578947368421,380,3.126071246264458,2.838840860994939,3.6336993007286083,5.402844029761588,731.8567045814112,26.17765276273611,21.72178280824297,26.733784810465988,40.61016082763672,2.0723122566342314,639,0.37735849056603776,0.09389671361502347
5,conservative,28,0.3,0.8303052477618187,805,347,0.3025936599423631,0.43804034582132567,380,0.4921052631578947,380,3.2264976790797846,2.9998549421923784,3.7522677739801877,5.388287642143533,729.7182590384232,27.8023180482353,23.534626491163547,29.097700299133272,39.35460090637207,2.1175308926125687,639,0.346483704974271,0.08450704225352113
5,balanced,27,0.3,0.9010746349440298,805,347,0.3025936599423631,0.46397694524495675,380,0.5368421052631579,380,3.1370980079561663,2.849237301701785,3.649422527413586,5.380145622008492,722.2871360879195,27.173254909432202,21.851057163062812,26.77076454098168,38.023921966552734,2.1392839690611307,639,0.3613992762364294,0.09233176838810642
5,stronger,22,0.3,0.9727687059289167,805,347,0.30547550432276654,0.4409221902017291,380,0.5815789473684211,380,3.045721456638422,2.7757254377266034,3.524836148835865,5.48907428302196,703.0726764578568,24.68545246867225,20.768246528357,26.16198044005123,37.702919006347656,1.9430978704621111,639,0.39028901734104043,0.09702660406885759
