fold,scope,candidate,epochs,el_threshold,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,combined,stronger,27,0.3,696,355,0.4394366197183099,0.7323943661971831,528,0.5946969696969697,519,3.2611329626246364,2.959435326122284,3.461889662012078,5.005215625260696,2274.3093968283006,17.36976866771081,18.405416590143,21.470672518047024,34.65766525268555,1.3747296640691165,447,0.5004334007512279,0.12527964205816555
1,rruff,stronger,27,0.3,272,209,0.44019138755980863,0.6698564593301436,265,0.5622641509433962,256,2.4477208335917005,2.6481653513384655,2.9842466531784555,5.695912074850941,386.3086691349745,19.079436490094395,18.7983130636894,26.657540165457718,38.30315017700195,1.558896296108626,272,0.5635048231511254,0.01838235294117647
1,opxrd,stronger,27,0.3,424,146,0.4383561643835616,0.821917808219178,263,0.6273764258555133,263,4.052927759448346,3.2623757418997714,3.926746163802272,4.3329021095262705,4112.05906696102,15.261968203999027,17.499431635510938,17.51458236620575,30.175867080688477,1.1655671442662836,175,0.3391572456320658,0.2914285714285714
2,combined,stronger,20,0.4,695,303,0.41914191419141916,0.7227722772277227,570,0.6456140350877193,562,2.363556230744032,2.667633380622694,3.4015960059315535,4.7786256261952715,1355.3455377286864,17.092788809201014,17.903073450277258,21.02549192713556,33.20927810668945,1.5128506802569075,410,0.5586206896551724,0.22682926829268293
2,rruff,stronger,20,0.4,272,228,0.37719298245614036,0.6359649122807017,267,0.550561797752809,259,2.6720265212793186,3.067281862844169,3.5817442185139683,6.149961838061259,505.3272006060626,21.995140170614736,22.86460495951334,28.921314848387706,44.87364196777344,1.982533334336848,272,0.5168125287885768,0.011029411764705883
2,opxrd,stronger,20,0.4,423,75,0.5466666666666666,0.9866666666666667,303,0.7293729372937293,303,2.0998999893801793,2.3260205241203695,3.247565931314276,3.6063974224037776,2081.9294145540043,9.125361666481972,9.669536758694907,12.15969977915756,19.650148391723633,0.7383886465060385,138,0.6831275720164609,0.6521739130434783
3,combined,stronger,15,0.3,695,383,0.381201044386423,0.5718015665796344,517,0.6402321083172147,509,2.5840393889492326,2.621401459590643,3.1851021631327647,4.64838214849177,587.3976232382544,21.043705421097037,18.538990128054255,23.074167384087247,30.448808670043945,1.5692521805773634,471,0.5276742185259536,0.1740976645435244
3,rruff,stronger,15,0.3,272,233,0.45064377682403434,0.7253218884120172,265,0.6339622641509434,257,2.620892767137533,2.691987430155083,2.863742687198655,5.206639093857687,348.2536020983982,21.222085737671076,19.88792601400866,27.35817502155535,35.14724349975586,1.6357358231162635,272,0.5583038869257951,0.003676470588235294
3,opxrd,stronger,15,0.3,423,150,0.2733333333333333,0.3333333333333333,252,0.6468253968253969,252,2.5464812411197744,2.549475478093235,3.5128104460427654,4.079013208121682,831.2849719335162,20.567187584930544,17.161690078107213,19.431294167331995,26.06583309173584,1.4780826198714667,199,0.4446808510638298,0.40703517587939697
4,combined,stronger,17,0.3,695,352,0.5454545454545454,0.7244318181818182,531,0.6271186440677966,526,2.3655719324502567,2.5663801266805852,3.610565912374927,4.7860640596621264,600.7448551011177,17.935355521854476,17.432648225775996,20.97045246835599,31.50220489501953,1.349703975149425,503,0.5846249225046497,0.2624254473161034
4,rruff,stronger,17,0.3,272,227,0.44052863436123346,0.6563876651982379,267,0.5692883895131086,262,2.620761895694585,2.673234811237409,3.7192398238294686,5.811374877173805,513.5539036525115,23.51942046797725,21.712411470591277,26.705751332028335,39.698631286621094,1.9500209148771162,271,0.5417779473483404,0.0036900369003690036
4,opxrd,stronger,17,0.3,423,125,0.736,0.848,264,0.6856060606060606,264,2.112292108559452,2.46027589858815,3.5027366520115,3.76852603475698,687.273901383082,11.44832561108284,12.221642825821775,14.964660699609937,25.53541374206543,0.7921895881503378,232,0.7702479338842976,0.5646551724137931
5,combined,stronger,19,0.4,694,282,0.5070921985815603,0.7411347517730497,538,0.6301115241635687,537,2.5399438995944594,2.6122613469838925,3.637863426998939,4.930130285756262,669.7510270805998,22.260402316368385,19.699989659887557,21.56070500412532,35.42240524291992,1.6100497295879155,422,0.622503328894807,0.16587677725118483
5,rruff,stronger,19,0.4,271,208,0.39903846153846156,0.6490384615384616,265,0.5509433962264151,264,2.8631365005085705,2.533154577466177,4.132589538018986,5.865969224260119,631.6133177352674,25.813445708525954,21.999211951159676,26.47777051734863,42.80888748168945,1.9979387670034656,270,0.535302261190586,0.011111111111111112
5,opxrd,stronger,19,0.4,423,74,0.8108108108108109,1.0,273,0.706959706959707,273,2.2274256008495326,2.688749391790398,3.1594368169441127,4.025143023883619,706.6349996699519,17.433430310094508,17.84818515744311,14.727309807414079,28.418729782104492,1.2000715556537518,152,0.8482676224611709,0.4407894736842105
