fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,head_only,25,0.2,1.4358173909521446,855,457,0.474835886214442,0.6652078774617067,592,0.7077702702702703,587,1.9423468277644775,2.03958045446432,2.925062904382629,4.445663292255549,556.13624491521,15.066184564148411,13.063321774415089,18.233053024097945,29.464305877685547,1.0802617381482928,600,0.5103578154425612,0.21333333333333335
1,conservative,25,0.2,1.324429013628617,855,457,0.4660831509846827,0.6301969365426696,592,0.6942567567567568,587,2.0431951749909936,2.0840591834200723,3.0679383201208945,4.481094103224996,554.4524378021084,16.869283802652596,15.881245840016629,21.063691084823123,33.188690185546875,1.0943599523507581,600,0.4313630880579011,0.08833333333333333
1,balanced,24,0.2,1.414469363135478,855,457,0.49015317286652077,0.649890590809628,592,0.7027027027027027,587,1.9121150956954394,2.0412942340711235,2.9590638317789417,4.280917318221046,546.4557025331045,14.043321237103813,14.280752785902504,18.84620749166487,28.473085403442383,1.0321714072720454,600,0.4854415274463007,0.2
1,stronger,27,0.3,1.4444832520172175,855,457,0.48358862144420134,0.6827133479212254,592,0.7043918918918919,587,1.9085004490017514,2.0308134767297776,2.761757598531694,4.404897162814616,565.5728933409085,14.703122479479592,13.566879487713576,14.955717810903941,25.273761749267578,1.0106531863414787,600,0.5111416781292984,0.23166666666666666
2,head_only,25,0.4,1.1354459284813425,814,505,0.3722772277227723,0.596039603960396,484,0.6177685950413223,477,2.752224778866381,2.663158438728512,3.815146999242051,4.895737585524435,1301.013639965897,20.887721765305542,18.649094448251578,23.367041878133545,39.00327682495117,1.6462761985057357,619,0.4180548092423428,0.1421647819063005
2,conservative,27,0.3,1.0556659278548404,814,505,0.3445544554455445,0.5861386138613861,484,0.5909090909090909,477,2.952953647153709,2.784260511551674,3.991274235810703,4.902547807297378,1343.5622025735722,24.080779044382545,18.980153125263815,26.25355265883518,40.46637725830078,1.746478310664953,619,0.39164359426126355,0.1147011308562197
2,balanced,24,0.4,1.1059367275842287,814,505,0.3603960396039604,0.5861386138613861,484,0.609504132231405,477,2.8268538811907518,2.6632290454325673,3.883947069944141,4.890008930739537,1309.708664868113,22.03834184220816,19.050064250670392,24.40505899232404,38.877708435058594,1.6858232449228918,619,0.4088427947598253,0.13570274636510501
2,stronger,20,0.4,1.1367918952932619,814,505,0.35247524752475246,0.592079207920792,484,0.6198347107438017,477,2.7515117544212178,2.6193536933832684,3.744396436518812,5.05956600693598,1293.905848497115,20.84922599863534,17.601744412456316,22.22265990793758,36.46946334838867,1.5945306449662802,619,0.43146666666666667,0.13731825525040386
3,head_only,24,0.3,1.3639954920896118,820,435,0.4459770114942529,0.7632183908045977,561,0.6737967914438503,558,2.5947652634818703,2.4897600218182276,3.1104197248232563,4.402334479484558,934.1545014398499,20.37652206313574,17.064969145039314,17.063175176874132,35.848690032958984,1.421950091504553,537,0.4941905499612704,0.1191806331471136
3,conservative,24,0.3,1.287026496795526,820,435,0.4482758620689655,0.7517241379310344,561,0.6363636363636364,558,2.6524888644640736,2.5606979972495316,3.2081163206040184,4.28694448996717,980.5554456950089,19.83978027057386,17.07911306537663,17.37048633122405,36.618722915649414,1.4466565092873565,537,0.45695722793719545,0.1154562383612663
