fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,head_only,20,0.3,1.2473964640521418,245,211,0.3744075829383886,0.6492890995260664,241,0.6307053941908713,236,2.5884356664949717,2.618525218978503,3.6388631792656154,5.568852651346952,558.8178873385414,25.375396493517414,19.697762300979292,29.12011455943455,44.68041229248047,2.098755504727296,245,0.5079638398622471,0.0
1,conservative,19,0.2,1.2133832108604554,245,211,0.4028436018957346,0.6635071090047393,241,0.6307053941908713,236,2.6112841928212975,2.6979726577877012,3.664457822283946,5.486431026260011,568.6063713300026,24.191717521046616,21.390301144913895,29.871658450411857,46.129629135131836,1.932431463600325,245,0.455672068636797,0.004081632653061225
1,balanced,30,0.2,1.265857996274045,245,211,0.4218009478672986,0.6729857819905213,241,0.6348547717842323,236,2.6014726810335356,2.5694270345422066,3.571777854937222,5.599411632768165,549.5167523561898,24.739797196654568,19.719149306605555,28.831711781979564,41.874755859375,2.0442729931117194,245,0.4939181717655731,0.0
1,stronger,14,0.4,1.2835602732109441,245,211,0.4218009478672986,0.6682464454976303,241,0.6431535269709544,236,2.613263305283288,2.577950890749002,3.529568379633455,5.745288631914418,554.1175282203545,26.00280958070928,19.479357178480164,28.938549286219427,42.26825714111328,2.1510212593346263,245,0.5080135988343857,0.00816326530612245
2,head_only,21,0.3,1.3264229213956678,245,206,0.470873786407767,0.7281553398058253,244,0.5942622950819673,237,2.683325784609003,2.3187771235411025,3.3233988737103077,5.484160916529075,428.61258916412226,23.217226161307657,17.16062300321836,25.401466014437176,39.35891342163086,1.8341878053203002,245,0.5585344057193923,0.0163265306122449
2,conservative,29,0.2,1.2456837481449676,245,206,0.46116504854368934,0.7330097087378641,244,0.5819672131147541,237,2.7304349074438394,2.4018046393263193,3.318919543074328,5.537518562182924,428.36765870363905,24.518154146018002,18.814325465682955,27.84254494825369,41.06626892089844,1.925987368525222,245,0.4971537001897533,0.012244897959183673
2,balanced,30,0.3,1.3440484837846585,245,206,0.5048543689320388,0.7281553398058253,244,0.6024590163934426,237,2.711033447123429,2.33879495383741,3.277339463308385,5.384559001819443,429.787798515352,23.100995264499804,17.847218646327416,26.453918129618327,39.30556106567383,1.8157216312338953,245,0.5503663003663004,0.02040816326530612
2,stronger,17,0.4,1.354461331565487,245,206,0.4854368932038835,0.7184466019417476,244,0.6024590163934426,237,2.6598829451247314,2.3451346907829396,3.2833477880699866,5.566233302461609,425.7441670220612,21.056133558260793,17.812886518892448,24.70086829885299,36.17200469970703,1.5680037007842351,245,0.5739910313901346,0.02857142857142857
3,head_only,19,0.3,1.2257459015382735,262,226,0.4026548672566372,0.6991150442477876,260,0.5653846153846154,257,3.160194306071579,2.7870525868186813,3.5222756972187117,5.803603106708705,626.9637767776904,27.51486006677553,23.682626726589845,23.754933874939184,54.71872329711914,2.443215155696734,262,0.5583368689011455,0.011450381679389313
3,conservative,25,0.2,1.140683046997381,262,226,0.3672566371681416,0.6902654867256637,260,0.5384615384615384,257,2.860406275458362,2.831017294121665,3.4888450090408964,5.674429935411212,593.4416750599902,22.722016883020355,23.417025147785566,25.88987182106567,48.9871940612793,1.7824263063740613,262,0.5025357307514984,0.007633587786259542
