fold,arm,candidate,best_reference_epoch,best_steps,el_threshold,inner_score,train_rows,reference_train_rows,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
1,all_real_control,head_only,19,646,0.3,1.2402415280715269,2163,2163,443,211,0.36492890995260663,0.6540284360189573,439,0.6104783599088838,434,2.5704493891462734,2.916764536211396,3.99093529347229,5.250144630198088,710.3390534923923,1.799614067817993,23.33252876214639,23.578884864159335,26.885719818836634,46.37874984741211,245,0.5173169662428759,0.004081632653061225
1,all_real_control,conservative,26,884,0.2,1.1965113830980842,2163,2163,443,211,0.3933649289099526,0.6587677725118484,439,0.5831435079726651,434,2.7232592653667202,2.9091610604072313,4.043462942712782,5.198329997343627,696.9301987133817,1.9380045694573536,25.637685535311213,22.138269308567903,30.22912477381486,45.241621017456055,245,0.49212303075768943,0.004081632653061225
1,all_real_control,balanced,20,680,0.3,1.2401929921304309,2163,2163,443,211,0.3933649289099526,0.6540284360189573,439,0.6127562642369021,434,2.5813768883182995,2.873474410070437,3.9301272800499962,5.293753081177044,674.4013327936972,1.8307112456756904,23.304504318332732,22.78667915020872,28.553749845560198,40.44838333129883,245,0.502191060473269,0.0163265306122449
1,all_real_control,stronger,9,306,0.3,1.2489157334256427,2163,2163,443,211,0.41232227488151657,0.6635071090047393,439,0.6059225512528473,434,2.584514660403125,2.8345394659791063,3.9811434175723748,5.28843785507299,677.5863864652572,1.8469450909263205,23.97691150442838,22.447699928564642,29.217140369076503,41.02755355834961,245,0.5059497576024681,0.012244897959183673
1,single_phase_only,head_only,27,918,0.3,1.2643053708102963,1481,2163,443,211,0.35545023696682465,0.6587677725118484,439,0.6264236902050114,434,2.5551322941372545,2.87698648863626,3.9450995728730134,5.344962411346888,730.9404928673248,1.776105112869669,22.41649092988982,22.950092436451843,26.782370186104394,45.53570556640625,245,0.5301204819277109,0.004081632653061225
1,single_phase_only,conservative,28,952,0.2,1.2356723021043208,1481,2163,443,211,0.3981042654028436,0.6635071090047393,439,0.6059225512528473,434,2.68542844667882,2.852398936607353,3.968331409294473,5.181010708160709,684.8043804344494,1.9567198601914586,24.803858969416858,21.583917001627874,29.514331907023156,42.068620681762695,245,0.5027124773960217,0.0
1,single_phase_only,balanced,16,544,0.3,1.2713759402755636,1481,2163,443,211,0.4028436018957346,0.6682464454976303,439,0.621867881548975,434,2.573167536093702,2.8234807698420936,3.9058431050804914,5.301470880014972,670.2159048950617,1.8403512962756294,23.937596180605894,22.594003082202384,27.446976247550964,39.94312858581543,245,0.5157124408092983,0.004081632653061225
1,single_phase_only,stronger,10,340,0.3,1.2770442940600766,1481,2163,443,211,0.4028436018957346,0.6682464454976303,439,0.621867881548975,434,2.5099351859487733,2.800085825435831,3.8336533465851637,5.3483251983083315,672.9428870996572,1.7733064176443056,23.347298040706946,22.226816147987577,25.656233361318392,40.099599838256836,245,0.519156263452432,0.00816326530612245
2,all_real_control,head_only,18,630,0.3,1.2925367349002612,2217,2217,448,206,0.47572815533980584,0.7330097087378641,447,0.5794183445190156,440,3.116478197357353,2.83029643172544,3.7959389446720335,5.159272028015605,1035.6313948717984,1.7747638321212125,22.781436897110307,21.27213893032787,26.188459150921574,42.81472206115723,245,0.5510112359550561,0.012244897959183673
2,all_real_control,conservative,25,875,0.3,1.2876208335072465,2217,2217,448,206,0.5097087378640777,0.7233009708737864,447,0.5838926174496645,440,3.286747536735103,2.9414971469011695,3.905961607610654,5.087903931259243,1067.068224143982,1.831792898568219,24.952704815768065,20.366934289246117,26.912179180305813,42.03248977661133,245,0.5341440598690365,0.0326530612244898
