lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.23984,,5,70,0.067858,21233,0,0.2399642873287826,0.2399642873287826,0.0,0
1.23984,,6,71,0.140377,20366,0,0.23016590570046563,0.47013019302924824,0.0,1
1.23984,,6,72,0.069378,14524,0,0.16414266986121784,0.6342728628904661,0.0,2
1.23984,,5,40,0.02,5448,0,0.061570453415306724,0.6958433163057729,0.0,3
1.23984,,3,60,0.02,3426,0,0.038718864427467116,0.73456218073324,0.0,4
1.5406,1.54439,10,90,0.020458,2364,0,0.026716694543646308,0.7612788752768863,0.0,5
1.20793,1.20839,10,65,0.015004,1703,0,0.01924641743140003,0.7805252927082863,0.0,6
1.23984,,3,55,0.02,1578,0,0.017833732652230913,0.7983590253605172,0.0,7
1.5406,1.54439,10,80,0.020458,1249,1,0.014115546313457801,0.812474571673975,0.0004725897920604915,8
1.20793,1.20839,51,55,0.015004,868,0,0.009809683106550338,0.8222842547805254,0.0,9
1.20793,1.20839,20,70,0.015004,865,0,0.009775778671850277,0.8320600334523757,0.0,10
1.5406,1.54439,6,72,0.141502,674,0,0.0076171963292798696,0.8396772297816555,0.0,11
1.20793,1.20839,10,90,0.015004,614,0,0.006939107635278694,0.8466163374169342,0.0,12
1.5406,1.54439,10,89,0.020458,539,0,0.0060914967677772255,0.8527078341847114,0.0,13
1.20793,1.20839,10,60,0.015004,534,0,0.006034989376610461,0.8587428235613219,0.0,14
1.20793,1.20839,10,70,0.015004,526,0,0.005944577550743638,0.8646874011120655,0.0,15
1.5406,1.54439,5,90,0.01,408,0,0.004611003119207992,0.8692984042312736,0.0,16
1.5406,1.54439,10,80,0.050316,406,406,0.004588400162741287,0.8738868043940149,0.19187145557655955,17
1.20793,1.20839,10,50,0.015004,367,0,0.0041476425116405225,0.8780344469056555,0.0,18
,,15,60,0.01,342,0,0.0038651055558066995,0.8818995524614621,0.0,19
1.20793,1.20839,25,69,0.015004,338,0,0.003819899642873288,0.8857194521043354,0.0,20
1.5406,1.54439,30,110,0.026261,338,338,0.003819899642873288,0.8895393517472088,0.15973534971644612,21
1.5406,1.54439,10,90,0.024545,326,0,0.0036842819040730527,0.8932236336512819,0.0,22
1.5406,1.54439,10,80,0.010231,243,0,0.00274625921070476,0.8959698928619866,0.0,23
1.5406,1.54439,10,110,0.020458,239,0,0.0027010532977713485,0.898670946159758,0.0,24
1.20793,1.20839,10,91,0.015004,223,0,0.0025202296460377018,0.9011911758057957,0.0,25
1.5406,1.54439,5,50,0.0303,205,204,0.0023168030378373492,0.903507978843633,0.09640831758034027,26
1.20793,1.20839,10,61,0.015004,204,0,0.002305501559603996,0.905813480403237,0.0,27
1.20793,1.20839,25,71,0.015004,201,0,0.0022715971249039372,0.9080850775281409,0.0,28
1.5406,1.54439,5,80,0.020458,198,0,0.0022376926902038788,0.9103227702183448,0.0,29
1.5406,1.54439,11,90,0.020458,150,0,0.0016952217350029383,0.9120179919533478,0.0,30
1.5406,1.54439,10,120,0.020458,144,0,0.001627412865602821,0.9136454048189506,0.0,31
1.5406,1.54439,10,80,0.009208,137,0,0.0015483025179693505,0.91519370733692,0.0,32
1.20793,1.20839,25,35,0.015004,136,0,0.0015370010397359976,0.9167307083766559,0.0,33
1.5406,1.54439,10,92,0.020458,133,0,0.0015030966050359387,0.9182338049816918,0.0,34
1.20793,1.20839,20,32,0.015004,131,0,0.0014804936485692329,0.9197142986302611,0.0,35
1.5406,1.54439,30,85,0.020458,130,0,0.00146919217033588,0.921183490800597,0.0,36
1.5406,1.54439,5,100,0.060361,118,0,0.0013335744315356448,0.9225170652321327,0.0,37
1.20793,1.20839,10,62,0.015004,105,0,0.001186655214502057,0.9237037204466347,0.0,38
1.5406,1.54439,10,91,0.010231,103,0,0.001164052258035351,0.9248677727046701,0.0,39
1.20793,1.20839,10,75,0.015004,98,0,0.0011075448668685865,0.9259753175715387,0.0,40
1.20793,1.20839,50,65,0.015004,96,0,0.0010849419104018805,0.9270602594819406,0.0,41
1.5406,1.54439,0,90,0.01,87,0,0.0009832286063017042,0.9280434880882423,0.0,42
1.5406,1.54439,20,80,0.020458,79,0,0.0008928167804348808,0.9289363048686772,0.0,43
1.20793,1.20839,15,100,0.015004,76,0,0.0008589123457348222,0.929795217214412,0.0,44
,,10,80,0.010231,76,0,0.0008589123457348222,0.9306541295601469,0.0,45
1.20793,1.20839,10,82,0.015004,74,0,0.0008363093892681163,0.9314904389494151,0.0,46
1.5406,1.54439,5,65,0.020458,73,0,0.0008250079110347634,0.9323154468604499,0.0,47
1.5406,1.54439,10,80,0.0399,67,0,0.0007571990416346458,0.9330726459020845,0.0,48
1.20793,1.20839,10,66,0.015004,66,0,0.0007458975634012929,0.9338185434654858,0.0,49
1.20793,1.20839,20,62,0.015004,66,0,0.0007458975634012929,0.934564441028887,0.0,50
1.20793,1.20839,20,52,0.015004,64,0,0.0007232946069345871,0.9352877356358216,0.0,51
