lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.54056,1.54439,5,90,0.01,1296,1296,0.9536423841059603,0.9536423841059603,0.9536423841059603,0
1.54056,1.54439,5,36,0.02,5,5,0.003679175864606328,0.9573215599705666,0.003679175864606328,1
1.54056,1.54439,6,65,0.03,4,4,0.0029433406916850625,0.9602649006622517,0.0029433406916850625,2
1.54056,1.54439,5,35,0.02,3,3,0.002207505518763797,0.9624724061810155,0.002207505518763797,3
1.54056,1.54439,6,49,0.01,3,3,0.002207505518763797,0.9646799116997793,0.002207505518763797,4
1.54056,1.54439,0,90,0.01,2,2,0.0014716703458425313,0.9661515820456218,0.0014716703458425313,5
1.54056,1.54439,2,65,0.03,2,2,0.0014716703458425313,0.9676232523914643,0.0014716703458425313,6
1.54056,1.54439,6,36,0.02,2,2,0.0014716703458425313,0.9690949227373068,0.0014716703458425313,7
1.54056,1.54439,6,52,0.03,2,2,0.0014716703458425313,0.9705665930831493,0.0014716703458425313,8
1.54056,1.54439,7,51,0.03,2,2,0.0014716703458425313,0.9720382634289918,0.0014716703458425313,9
1.54056,1.54439,0,90,0.07,1,1,0.0007358351729212656,0.9727740986019131,0.0007358351729212656,10
1.54056,1.54439,2,51,0.03,1,1,0.0007358351729212656,0.9735099337748344,0.0007358351729212656,11
1.54056,1.54439,3,53,0.03,1,1,0.0007358351729212656,0.9742457689477557,0.0007358351729212656,12
1.54056,1.54439,3,70,0.0102,1,1,0.0007358351729212656,0.974981604120677,0.0007358351729212656,13
1.54056,1.54439,4,48,0.03,1,1,0.0007358351729212656,0.9757174392935983,0.0007358351729212656,14
1.54056,1.54439,4,49,0.02,1,1,0.0007358351729212656,0.9764532744665196,0.0007358351729212656,15
1.54056,1.54439,4,60,0.0084,1,1,0.0007358351729212656,0.977189109639441,0.0007358351729212656,16
1.54056,1.54439,4,60,0.03528,1,1,0.0007358351729212656,0.9779249448123623,0.0007358351729212656,17
1.54056,1.54439,4,90,0.017,1,1,0.0007358351729212656,0.9786607799852836,0.0007358351729212656,18
1.54056,1.54439,5,37,0.02,1,1,0.0007358351729212656,0.9793966151582049,0.0007358351729212656,19
1.54056,1.54439,5,42,0.03,1,1,0.0007358351729212656,0.9801324503311262,0.0007358351729212656,20
1.54056,1.54439,5,47,0.03,1,1,0.0007358351729212656,0.9808682855040475,0.0007358351729212656,21
1.54056,1.54439,5,48,0.02,1,1,0.0007358351729212656,0.9816041206769688,0.0007358351729212656,22
1.54056,1.54439,5,49,0.03,1,1,0.0007358351729212656,0.9823399558498901,0.0007358351729212656,23
1.54056,1.54439,5,50,0.03,1,1,0.0007358351729212656,0.9830757910228114,0.0007358351729212656,24
1.54056,1.54439,5,52,0.03,1,1,0.0007358351729212656,0.9838116261957327,0.0007358351729212656,25
1.54056,1.54439,5,56,0.03,1,1,0.0007358351729212656,0.984547461368654,0.0007358351729212656,26
1.54056,1.54439,5,62,0.03,1,1,0.0007358351729212656,0.9852832965415753,0.0007358351729212656,27
1.54056,1.54439,5,65,0.03,1,1,0.0007358351729212656,0.9860191317144966,0.0007358351729212656,28
1.54056,1.54439,5,90,0.017,1,1,0.0007358351729212656,0.9867549668874179,0.0007358351729212656,29
1.54056,1.54439,5,90,0.099998,1,1,0.0007358351729212656,0.9874908020603392,0.0007358351729212656,30
1.54056,1.54439,6,34,0.02,1,1,0.0007358351729212656,0.9882266372332605,0.0007358351729212656,31
1.54056,1.54439,6,35,0.02,1,1,0.0007358351729212656,0.9889624724061818,0.0007358351729212656,32
1.54056,1.54439,6,41,0.03,1,1,0.0007358351729212656,0.9896983075791032,0.0007358351729212656,33
1.54056,1.54439,7,42,0.03,1,1,0.0007358351729212656,0.9904341427520245,0.0007358351729212656,34
1.54056,1.54439,7,45,0.03,1,1,0.0007358351729212656,0.9911699779249458,0.0007358351729212656,35
1.54056,1.54439,7,47,0.03,1,1,0.0007358351729212656,0.9919058130978671,0.0007358351729212656,36
1.54056,1.54439,7,57,0.03,1,1,0.0007358351729212656,0.9926416482707884,0.0007358351729212656,37
1.54056,1.54439,7,59,0.03,1,1,0.0007358351729212656,0.9933774834437097,0.0007358351729212656,38
1.54056,1.54439,7,62,0.03,1,1,0.0007358351729212656,0.994113318616631,0.0007358351729212656,39
1.54056,1.54439,7,64,0.03,1,1,0.0007358351729212656,0.9948491537895523,0.0007358351729212656,40
1.54056,1.54439,7,65,0.03,1,1,0.0007358351729212656,0.9955849889624736,0.0007358351729212656,41
1.54056,1.54439,8,46,0.02,1,1,0.0007358351729212656,0.9963208241353949,0.0007358351729212656,42
1.54056,1.54439,8,48,0.03,1,1,0.0007358351729212656,0.9970566593083162,0.0007358351729212656,43
1.54056,1.54439,8,62,0.03,1,1,0.0007358351729212656,0.9977924944812375,0.0007358351729212656,44
1.54056,1.54439,8,65,0.03,1,1,0.0007358351729212656,0.9985283296541588,0.0007358351729212656,45
1.54056,1.54439,9,49,0.02,1,1,0.0007358351729212656,0.9992641648270801,0.0007358351729212656,46
1.54056,1.54439,12,65,0.014702,1,1,0.0007358351729212656,1.0000000000000013,0.0007358351729212656,47
